"case_name","url","vessel_name"
"Fishing boats Jinheungho and Chansungho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79085&fileSn=1","['Jinheungho', 'Chansungho']"
"Collision incident between tugboat 301 Jo Yang-ho and towed barge Geonmin 17000 and fishing boat Gwanghae-ho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79082&fileSn=1","['Yang-ho', 'towed', 'Geonmin 17000', 'fishing']"
"Fishing boat Sejongho and fishing boat Myeongjinho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79077&fileSn=1","['Sejongho', 'fishing']"
"Fishing boat Garamho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79076&fileSn=1","['Garamho']"
"Collision between fishing boats Je3daegwangho and Yeongchangho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79071&fileSn=1","['daegwangho', 'Yeongchangho']"
"Fishing boat Cheonggwangho and fishing boat Florence collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79068&fileSn=1","['Cheonggwangho', 'fishing']"
"Fishing boat crew member Ju Yong-ho&#39;s death","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79066&fileSn=1","[]"
"Fishing boat Legend-ho and fishing boat Jinyang-ho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79063&fileSn=1","['Legend-ho', 'fishing']"
"Collision between Fishery Guidance Vessel Mugunghwa 14 and Fishing Vessel Daegwangho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79059&fileSn=1","['Mugunghwa 14', 'Fishing']"
"Collision incident between fishing boat Partner and auxiliary vessel Geumshin SB2005","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79058&fileSn=1","['Partner', 'auxiliary']"
"Fishing boat Shinaho sinking incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79053&fileSn=1","['Shinaho']"
"Fishing boat Nike grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79051&fileSn=1","['Nike']"
"Fishing boat Sejinho and fishing boat Yangseongho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79047&fileSn=1","['Sejinho', 'fishing']"
"Sinking of fishing boats Yudongho and Yudong2","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79046&fileSn=1","['Yudongho', 'Yudong']"
"Fishing vessel collision incidents, Article 87(1), Article 88(1)","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79041&fileSn=1","[]"
"Tugboat Dong-A-T 3 Marine Pollution Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79039&fileSn=1","['Dong-A-T 3']"
"Fishing boat Shin Seong-ho crew member death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79036&fileSn=1","['Shin']"
"Fishing boat Daeshinho crew disappearance incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79033&fileSn=1","['Daeshinho']"
"Fishing boat crew member Jang Gwang-ho&#39;s death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79031&fileSn=1","[]"
"Sinking of the tugboat Geumsin 101","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79028&fileSn=1","['Geumsin 101']"
"Fishing vessel Daeilho and bulk cargo ship Ijei Ocean collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79025&fileSn=1","['Daeilho', 'bulk']"
"Fishing boat crew member Yu Il-ho injured","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79022&fileSn=1","[]"
"Passenger ship Xiangxuelan dock contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79017&fileSn=1","['Xiangxuelan']"
"Fishing boat Shinyoung 51 crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79014&fileSn=1","['Shinyoung 51']"
"Fishing boat patrol No. 7 capsize incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79011&fileSn=1","['patrol']"
"Fishing boats Gukhanho and Johyeonho collision incident (abbreviated)","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79008&fileSn=1","['Gukhanho', 'Johyeonho']"
"Collision between fishing boat Daemyungho and fishing boat Je1seungchangho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79005&fileSn=1","['Daemyungho', 'fishing']"
"Fishing boat Haeseongho capsize incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79004&fileSn=1","['Haeseongho']"
"Fishing boat Champion-ho bridge pier construction facility contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79001&fileSn=1","['Champion-ho']"
"Fishing boat Seon Kyung Ho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78997&fileSn=1","['Seon']"
"Cafe Line Gold Cafe Line Fire Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78993&fileSn=1","[]"
"Fishing boat Jeongwonho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78990&fileSn=1","['Jeongwonho']"
"Fishing vessel No. 77 Taekwangho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78987&fileSn=1","['77 Taekwangho']"
"Collision incident between tugboat K-1 and two other vessels, including the towed barge Hyundai Mipo 8001 and fishing boat Haeyoung 3","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78986&fileSn=1","['Mipo 8001', 'fishing']"
"Death of a crew member on the 77th captain fishing boat","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78981&fileSn=1","[]"
"Liquid Chemical Bulk Carrier Yeosu Chemi Explosion Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78980&fileSn=1","['Yeosu']"
"Fishing vessel No. 201 crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78977&fileSn=1","['201']"
"Fishing boat Seonghyeonho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78974&fileSn=1","['Seonghyeonho']"
"Oil tanker Triton and fishing boat Hwanggeumho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78970&fileSn=1","['Triton', 'fishing']"
"Tugboat No. 1 Good Sailor Injury Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78968&fileSn=1","['1 Good']"
"Fishing boat Changgilho and fishing boat Wonyangho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78965&fileSn=1","['Changgilho', 'fishing']"
"Fishing boat Haeseongho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100818&fileSn=1","['Haeseongho']"
"The sinking of the towed vessel Moa Sun 12001 by the tugboat Moa","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78959&fileSn=1","['Moa']"
"Sinking of the deep-sea fishing vessel Rim Discoverer","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78955&fileSn=1","['Rim']"
"Fishing boat Je8 Taekyungho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78952&fileSn=1","['Je']"
"Fishing boat Jungwonho crew members injured","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78950&fileSn=1","['Jungwonho']"
"Fishing boat Gangnamho and fishing boat Manseongho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78945&fileSn=1","['Gangnamho', 'fishing']"
"Collision between fishing boat No. 887 Eojinho and fishing boat No. 907 Namyangho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78944&fileSn=1","['Eojinho', 'fishing']"
"Fishing vessel Je3 Cheongnamho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78941&fileSn=1","['Je']"
"Fishing boat Eun Jin-ho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78936&fileSn=1","['Eun']"
"Fishing boat Daewonho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78933&fileSn=1","['Daewonho']"
"Fishing boat Hwanggeumho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78932&fileSn=1","['Hwanggeumho']"
"Fishing boat Deokjinho capsize incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78929&fileSn=1","['Deokjinho']"
"Fishing boat Hanaho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78926&fileSn=1","['Hanaho']"
"Fishing boat 85 Daeyangho, fishing boat New Victoryho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78921&fileSn=1","['85 Daeyangho', 'New']"
"Passenger ship Xinweijinxiang fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78918&fileSn=1","['Xinweijinxiang']"
"Fishing boat Myeongilho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78916&fileSn=1","['Myeongilho']"
"Fishing boat No. 66 Pungseongho capsize incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78912&fileSn=1","['66 Pungseongho']"
"Fishing boat No. 2003 Shinsungho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78909&fileSn=1","['2003 Shinsungho']"
"Tanker YN Ocean and Tongsun 7 Haju collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78907&fileSn=1","['Ocean', 'Tongsun 7']"
"Fishing vessel No. 305 Gyeongseonho collides with petroleum product carrier Stolt Voyager","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78905&fileSn=1","['305 Gyeongseonho', 'Stolt']"
"Fishing boat Blue Shark grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78900&fileSn=1","['Blue']"
"Collision between fishing boat No. 111 Shin Geon-ho and fishing boat Haedong-ho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78898&fileSn=1","['Geon-ho', 'fishing']"
"Fishing boat Dongjinho and fishing boat Je2007 Daeseongho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78894&fileSn=1","['Dongjinho', 'fishing']"
"Fishing vessel Apollo grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78891&fileSn=1","['Apollo']"
"Fishing boat Dongseongho and fishing boat Mangumho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78888&fileSn=1","['Dongseongho', 'fishing']"
"Fishing boat Jongjinho, fishing boat No. 206 Changshinho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78886&fileSn=1","['Jongjinho', '206 Changshinho']"
"Cement carrier Sampyo 38 marine pollution incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78882&fileSn=1","['Sampyo 38']"
"Fishing boat New Family and fishing boat Rock Island collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78881&fileSn=1","['Family', 'fishing']"
"Passenger ship New Golden Bridge 7 fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78878&fileSn=1","['New']"
"Fishing boat Jeonjaho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78875&fileSn=1","['Jeonjaho']"
"Fishing boat Dongnam 2 crew death and disappearance incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=78870&fileSn=1","[]"
"Ore carrier Stella Banner grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100284&fileSn=1","['Stella']"
"Collision between fishing boat No. 903 Cheongryongho and fishing boat No. 2010 Daeseungho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100270&fileSn=1","['Cheongryongho', 'fishing']"
"Fishing vessel Je5 Haechangho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100225&fileSn=1","['Je']"
"Fishing boat Seonggwangho and fishing boat Chungnamho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100323&fileSn=1","['Seonggwangho', 'fishing']"
"Fishing boat 300-type Binho and fishing boat Dongbaekho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100293&fileSn=1","['Binho', 'fishing']"
"Fishing boat No. 365 green light fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100472&fileSn=1","['365 green']"
"Collision between fishing boat No. 708 Uriho and fishing boat No. 909 Minseongho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100593&fileSn=1","['Uriho', 'fishing']"
"Fishing boat 203 Wonchangho Fishing boat Je3 Gwangrimho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100555&fileSn=1","['203 Wonchangho', 'Je']"
"Collision between the petroleum product carrier PVT Neptune and the petroleum product carrier Glory Wind","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100341&fileSn=1","['Neptune']"
"Container ship Milano Bridge Busan New Port crane contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100311&fileSn=1","['Milano']"
"Death of crew member of fishing boat Je7 Daeseongho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100234&fileSn=1","['Je']"
"Fishing boat Master No. 1 and motorboat Cheonghaeho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100276&fileSn=1","['Master', 'Cheonghaeho']"
"Motorboat Lounge Grounding Due to Floating Objects Wrapping Up","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100487&fileSn=1","['Lounge']"
"Fishing boat No. 306 Min Geum-ho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100457&fileSn=1","['306 Min']"
"Fishing boat Geonyangho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100379&fileSn=1","['Geonyangho']"
"Collision between the watercraft Daemyung 11 and the fishing boat Daejinho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100427&fileSn=1","['Daemyung 11']"
"Guitar Sunflower Tourist Injury Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100388&fileSn=1","[]"
"Fishing boat Gwangyeongho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100523&fileSn=1","['Gwangyeongho']"
"Collision between fishing boat Suhyeonho and fishing boat No. 306 Hanilho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100502&fileSn=1","['Suhyeonho', 'fishing']"
"Passenger ship Sistar 11 guitar (cabin window damage) incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100484&fileSn=1","['Sistar 11']"
"Fishing boat CNP Daemul 2 dock contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100415&fileSn=1","['CNP']"
"Fishing boat Yeongshinho motorboat sea travel collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100394&fileSn=1","['Yeongshinho', 'sea']"
"Fishing boat Geumgang No. 7 crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100391&fileSn=1","['Geumgang']"
"Container ship Star Express dock facility contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100367&fileSn=1","['Star']"
"Oil product carrier Bogwang Topaz marine pollution incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100364&fileSn=1","['Bogwang']"
"Central Sea 2022-003 (Fishing vessel 25th Seongho and refrigerated transport vessel Subaru collision incident) _ For public use","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81909&fileSn=1","['Seongho', 'refrigerated']"
"Central Sea Survey No. 2022-001 (Collision Incident between Fishing Vessel Geumseong Fishing-ho and Fishing Vessel Sujin-ho)_For Public Use","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81903&fileSn=1","['Fishing-ho', 'Fishing']"
"Fishing boat Hwasungho fishing boat New Waveho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81900&fileSn=1","['Hwasungho', 'New']"
"Harmony Flower passenger ship crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81897&fileSn=1","[]"
"Collision between the oil product carrier Je3 Namseongho and the fishing vessel Daewangho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81896&fileSn=1","['Namseongho']"
"Chemical carrier Navig 8 Sky dock contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81892&fileSn=1","['Navig 8']"
"Fishing boat Stellaho fishing boat Dongseongho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=67447&fileSn=1","['Stellaho', 'Dongseongho']"
"Fishing boat No. 505, crew member death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=91624&fileSn=1","['No']"
"Dredger Jowon G-13 grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=71040&fileSn=1","[]"
"Sailing yacht Navadaho fishing boat Susungho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81881&fileSn=1","['Susungho']"
"Fishing boat Laon-ho and fishing boat Daeyang 1-ho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81876&fileSn=1","['Laon-ho', 'fishing']"
"Liquid Chemical Bulk Carrier Golden Bridge Hana Sailor Death Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81875&fileSn=1","['Golden']"
"Fishing boat Fishing Marine and motorboat Ireho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81857&fileSn=1","[]"
"The incident of collision between the bulk carrier Starex and the Jesanho ship","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81854&fileSn=1","['Starex']"
"Oil tanker Dong-A Themis dock contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81870&fileSn=1","['Dong-A']"
"Lake Aurora reefer ship. Vasiliy Poleshchuk collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81869&fileSn=1","[]"
"Collision incident between tugboat 29 Jo Yang-ho and towed barge Haegwang 5005 and general cargo ship Timgad","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81865&fileSn=1","['Yang-ho', 'towed', 'Haegwang 5005', 'general']"
"Fishing boat No. 607 Gwangyangho and fishing boat Baekguho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81862&fileSn=1","['Gwangyangho', 'fishing']"
"Fishing boat Donggeobukho and fishing boat Myeongjiho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81859&fileSn=1","['Donggeobukho', 'fishing']"
"Fishing boat No. 211 Jin-ho and fishing boat Beom-seung-ho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81849&fileSn=1","['Jin-ho', 'fishing']"
"Oil product carrier Hanyu Dream. Oil product carrier Tasco Amarite collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81846&fileSn=1","['Hanyu', 'Tasco']"
"Bulk cargo ship Treasure Frontier and fishing vessel Deokseongho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81845&fileSn=1","['Frontier', 'fishing']"
"Tugboat Jaeyoung 77, towed boat Seonjin 13, Oryukdo breakwater lighthouse submarine cable damage incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81840&fileSn=1","['Jaeyoung 77', 'Seonjin 13']"
"Sinking of the Aphang Yeosun 301 Shinhangmanho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81837&fileSn=1","['301 Shinhangmanho']"
"Fishery Guidance and Inspection Vessel Mugunghwa 11 Grounding Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81836&fileSn=1","['Guidance', 'Inspection']"
"Collision between the passenger ship Hanlim Ferry No. 9 and the fishing boat Minhoho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=81833&fileSn=1","['Hanlim', '9 and', 'Minhoho']"
"Fishing boat No. 11 stranding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100177&fileSn=1","['11 stranding']"
"Fishing boat 21 Gilseongho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100222&fileSn=1","['21 Gilseongho']"
"Fishing boat Jjanggu Fishing Ho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100180&fileSn=1","['Jjanggu']"
"Fishing boat Orange fishing boat Poseidon collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100168&fileSn=1","['Orange', 'Poseidon']"
"Fishing boat Jiyoungho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100345&fileSn=1","['Jiyoungho']"
"Collision between submarine Na Dae-yong and car carrier Hogrunden","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100299&fileSn=1","['Dae-yong', 'car']"
"Death of crew member of fishing boat No. 72 Haeyoungho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100273&fileSn=1","['72 Haeyoungho']"
"Oil product carrier 13 Ocean, fishing vessel 207 Yun Kyung-ho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100264&fileSn=1","['13 Ocean', '207 Yun']"
"Fishing boat Jinstaho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100261&fileSn=1","['Jinstaho']"
